Size,U \%,O \%,D,FO,Instance,RT,,SD,RT,,SD,RT,,SD,gen,conv
100,50,0,Euclidean,Random,5,0.2,$\pm$,0.4,0.63,$\pm$,0.5,130.1,$\pm$,9.52,1,100
100,50,50,Chebyshev,Equal,1,1.4,$\pm$,0.49,1.12,$\pm$,0.66,568683.6,$\pm$,37645.56,3000,0
100,50,50,Chebyshev,Equal,2,1,$\pm$,0,1.16,$\pm$,0.55,634661.9,$\pm$,49911.62,3000,0
100,50,50,Chebyshev,Equal,3,1.2,$\pm$,0.4,1.41,$\pm$,0.67,870697.7,$\pm$,27791.31,3000,0
100,50,50,Chebyshev,Equal,4,0.6,$\pm$,0.49,0.85,$\pm$,0.64,218439.6,$\pm$,27204.41,3000,0
100,50,50,Chebyshev,Equal,5,0.6,$\pm$,0.49,0.99,$\pm$,0.63,442179.1,$\pm$,28314.34,3000,0
100,50,50,Chebyshev,Random,1,0.2,$\pm$,0.4,0.47,$\pm$,0.5,79312.1,$\pm$,54676.64,2000.33,33.33
100,50,50,Chebyshev,Random,2,0.2,$\pm$,0.4,0.65,$\pm$,0.48,203103.1,$\pm$,2412.73,3000,0
100,50,50,Chebyshev,Random,3,0.6,$\pm$,0.49,0.68,$\pm$,0.53,123562.7,$\pm$,130516.58,1333.89,55.56
100,50,50,Chebyshev,Random,4,0,$\pm$,0,0.57,$\pm$,0.53,171.2,$\pm$,46.33,4.33,100
100,50,50,Chebyshev,Random,5,0.4,$\pm$,0.49,0.8,$\pm$,0.52,199405.1,$\pm$,104915.43,2335.22,22.22
100,50,50,Euclidean,Equal,1,0.8,$\pm$,0.75,1.21,$\pm$,0.99,518851,$\pm$,17261.91,3000,0
100,50,50,Euclidean,Equal,2,1.2,$\pm$,0.4,1.58,$\pm$,1.03,819795.9,$\pm$,53356.14,3000,0
100,50,50,Euclidean,Equal,3,0.6,$\pm$,0.49,0.93,$\pm$,0.65,434063.6,$\pm$,13198.92,3000,0
100,50,50,Euclidean,Equal,4,1.2,$\pm$,0.4,1.05,$\pm$,0.7,580983.6,$\pm$,13833.38,3000,0
100,50,50,Euclidean,Equal,5,0.6,$\pm$,0.49,1.16,$\pm$,0.64,604091.8,$\pm$,11003.5,3000,0
100,50,50,Euclidean,Random,1,0.8,$\pm$,0.4,1,$\pm$,0.58,383294,$\pm$,11550.74,3000,0
100,50,50,Euclidean,Random,2,0.6,$\pm$,0.49,0.62,$\pm$,0.64,164131.3,$\pm$,1340,3000,0
100,50,50,Euclidean,Random,3,0.6,$\pm$,0.49,0.66,$\pm$,0.51,169199.2,$\pm$,758.53,3000,0
100,50,50,Euclidean,Random,4,0.4,$\pm$,0.49,0.53,$\pm$,0.5,1967.6,$\pm$,846.69,48.33,100
100,50,50,Euclidean,Random,5,0.8,$\pm$,0.75,0.74,$\pm$,0.5,68166.4,$\pm$,109507.08,1000.67,66.67
100,50,85,Chebyshev,Equal,1,1,$\pm$,0,0.49,$\pm$,0.54,154708.5,$\pm$,3945.38,3000,0
100,50,85,Chebyshev,Equal,2,0.6,$\pm$,0.49,0.44,$\pm$,0.5,102390.7,$\pm$,15800.23,3000,0
100,50,85,Chebyshev,Equal,3,0.6,$\pm$,0.49,0.55,$\pm$,0.51,94357.5,$\pm$,16955.31,2782.22,22.22
100,50,85,Chebyshev,Equal,4,0.2,$\pm$,0.4,0.67,$\pm$,0.48,151393.1,$\pm$,401.7,3000,0
100,50,85,Chebyshev,Equal,5,1,$\pm$,0.63,0.51,$\pm$,0.52,22878.6,$\pm$,18976.44,707.22,100
100,50,85,Chebyshev,Random,1,0.6,$\pm$,0.49,0.41,$\pm$,0.49,1226.4,$\pm$,375.39,50.67,100
100,50,85,Chebyshev,Random,2,0.4,$\pm$,0.49,0.39,$\pm$,0.49,451.4,$\pm$,245.76,46.44,100
100,50,85,Chebyshev,Random,3,0.4,$\pm$,0.49,0.47,$\pm$,0.51,17471.5,$\pm$,15741.13,920,88.89
100,50,85,Chebyshev,Random,4,0.4,$\pm$,0.49,0.44,$\pm$,0.51,3761.4,$\pm$,2365.82,164.67,100
100,50,85,Chebyshev,Random,5,0.4,$\pm$,0.49,0.4,$\pm$,0.49,17.1,$\pm$,4.91,1,100
100,50,85,Euclidean,Equal,1,0.6,$\pm$,0.49,0.63,$\pm$,0.51,127121.8,$\pm$,726.73,3000,0
100,50,85,Euclidean,Equal,2,0.6,$\pm$,0.49,0.5,$\pm$,0.5,88124.7,$\pm$,828.23,3000,0
