Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,479,1,2015675687,91,0.2924,0.0784,0.6896,3,1008,126,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,153,1,2015675687,28,0.12,0.6053,0.8328,1,2897,92,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,108,1,2015675687,89,0.4172,0.1427,0.5127,1,842,162,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,251,1,2015675687,67,0.1494,0.3903,0.6662,1,2011,197,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,122,1,2015675687,25,0.5095,0.205,0.8834,4,993,229,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,153,1,2015675687,84,0.427,0.3037,0.9069,1,1306,215,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,98,1,2015675687,80,0.2996,0.0408,0.3967,1,693,233,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,784,1,2015675687,67,0.601,0.123,0.013,4,2909,262,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,93,1,2015675687,56,0.4291,0.2734,0.034,1,1259,120,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,1979,1,2015675687,98,0.2346,0.4905,0.3105,4,2965,240,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,19,1,2015675687,18,0.6986,0.1534,0.5131,1,1162,198,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,209,1,2015675687,86,0.5097,0.2206,0.6241,2,991,39,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,142,1,2015675687,66,0.2976,0.4273,0.3471,1,1362,103,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,67,1,2015675687,54,0.0779,0.0406,0.8468,1,584,173,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,283,1,2015675687,52,0.2342,0.4046,0.575,4,790,249,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,716,1,2015675687,50,0.4217,0.2511,0.1949,4,2631,150,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,100,1,2015675687,81,0.6189,0.0067,0.9065,4,296,108,4
